id,name
arrest,Arrests
censor,Censorship
activism,Civic Activism
corruption,Corruption
defamationcase,Defamation Cases
electionactivity,Election Activity
electionirregularities,Election Irregularities
coup,Irregular Transitions
legalaction,Legal Actions
legalchange,Legal Changes
violencelethal,Lethal Violence
disaster,Natural Disasters
violencenonlethal,Non-lethal Violence
cooperate,Political Cooperation
threaten,Political Threats
protest,Protests
purge,Purge/Replace
raid,Raids
martiallaw,State of Emergency
mobilizesecurity,Troop Mobilization
